USPS	GEOID	ANSICODE	NAME	FUNCSTAT	ALAND	AWATER	ALAND_SQMI	AWATER_SQMI	INTPTLAT	INTPTLONG                                                                                                      
MA	2502130455	00618322	Holbrook town	A	18790360	282105	7.255	0.109	42.140346	-70.997861                                                                                                                 
MA	2502139765	00618323	Medfield town	A	37318957	639017	14.409	0.247	42.184599	-71.305307                                                                                                                
MA	2502139975	00619458	Medway town	A	29875130	340793	11.535	0.132	42.156203	-71.430345                                                                                                                  
MA	2502141515	00618324	Millis town	A	31164729	598294	12.033	0.231	42.173103	-71.363756                                                                                                                  
MA	2502141690	00619459	Milton town	A	33698169	780214	13.011	0.301	42.241559	-71.082437                                                                                                                  
MA	2502144105	00618325	Needham town	A	31851572	1097089	12.298	0.424	42.281593	-71.242414                                                                                                                
MA	2502146050	00618326	Norfolk town	A	38585031	1293044	14.898	0.499	42.116244	-71.329274                                                                                                                
MA	2502150250	00619460	Norwood town	A	26882338	445372	10.379	0.172	42.187364	-71.195971                                                                                                                 
MA	2502154100	00618327	Plainville town	A	28458092	1350452	10.988	0.521	42.012838	-71.336188                                                                                                             
MA	2502155745	00619461	Quincy city	F	42922985	26765897	16.573	10.334	42.261006	-71.008988                                                                                                               
MA	2502156000	00618328	Randolph Town city	F	25456784	1516487	9.829	0.586	42.178993	-71.052654                                                                                                           
MA	2502160785	00618329	Sharon town	A	60697097	2471517	23.435	0.954	42.108463	-71.185182                                                                                                                 
MA	2502167945	00618330	Stoughton town	A	41662918	969179	16.086	0.374	42.119006	-71.10365                                                                                                                
MA	2502172495	00618331	Walpole town	A	52976308	1589108	20.454	0.614	42.146286	-71.255604                                                                                                                
MA	2502174175	00618332	Wellesley town	A	25954492	1318114	10.021	0.509	42.305932	-71.282917                                                                                                              
MA	2502178690	00618333	Westwood town	A	28182747	768345	10.881	0.297	42.219645	-71.216768                                                                                                                
MA	2502178972	00619462	Weymouth Town city	F	43420939	12454758	16.765	4.809	42.2073	-70.943687                                                                                                           
MA	2502182315	00618334	Wrentham town	A	56219361	2341255	21.706	0.904	42.052671	-71.356858                                                                                                               
MA	2502300000	00000000	County subdivisions not defined	F	0	737394647	0.	284.71	42.0627	-70.562339                                                                                                       
MA	2502300170	00618336	Abington town	A	25795963	594786	9.96	0.23	42.115764	-70.956597                                                                                                                   
MA	2502308130	00619466	Bridgewater Town city	F	70553893	2901659	27.241	1.12	41.972376	-70.978773                                                                                                        
